DOID 1,DOID 2,Disease 1,Disease 2
DOID:0001816,DOID:1115,0,1691
DOID:0002116,DOID:10124,1,1303
DOID:0014667,DOID:4,2,6877
DOID:0050004,DOID:10400,3,1421
DOID:0050012,DOID:934,4,6612
DOID:0050013,DOID:0060158,5,787
DOID:0050025,DOID:10242,6,1357
DOID:0050026,DOID:10242,7,1357
DOID:0050032,DOID:0060158,8,787
DOID:0050035,DOID:11104,9,1674
DOID:0050041,DOID:11104,10,1674
DOID:0050042,DOID:11104,11,1674
DOID:0050043,DOID:11104,12,1674
DOID:0050046,DOID:11104,13,1674
DOID:0050047,DOID:11104,14,1674
DOID:0050050,DOID:11104,15,1674
DOID:0050051,DOID:11104,16,1674
DOID:0050052,DOID:11104,17,1674
DOID:0050059,DOID:13386,18,2463
DOID:0050061,DOID:0050338,19,108
DOID:0050068,DOID:10773,20,1541
DOID:0050072,DOID:0050292,21,100
DOID:0050073,DOID:13564,22,2526
DOID:0050083,DOID:5113,23,4817
DOID:0050096,DOID:8913,24,6467
DOID:0050097,DOID:4337,25,4398
DOID:0050105,DOID:4337,26,4398
DOID:0050116,DOID:12179,27,2071
DOID:0050117,DOID:4,28,6877
DOID:0050118,DOID:934,29,6612
DOID:0050120,DOID:75,30,5941
DOID:0050125,DOID:12205,31,2080
DOID:0050127,DOID:1352,32,2511
DOID:0050129,DOID:13250,33,2418
DOID:0050130,DOID:13250,34,2418
DOID:0050131,DOID:13250,35,2418
DOID:0050132,DOID:13250,36,2418
DOID:0050133,DOID:1564,37,2981
DOID:0050134,DOID:1564,38,2981
DOID:0050135,DOID:1564,39,2981
DOID:0050136,DOID:1564,40,2981
DOID:0050138,DOID:4976,41,4757
DOID:0050140,DOID:13250,42,2418
DOID:0050141,DOID:11976,43,1997
DOID:0050143,DOID:12205,44,2080
DOID:0050144,DOID:9562,45,6699
DOID:0050145,DOID:974,46,6761
DOID:0050147,DOID:9463,47,6659
DOID:0050148,DOID:974,48,6761
DOID:0050150,DOID:10458,49,1435
DOID:0050152,DOID:874,50,6426
DOID:0050153,DOID:13564,51,2526
DOID:0050155,DOID:863,52,6378
DOID:0050156,DOID:2797,53,3563
DOID:0050157,DOID:2797,54,3563
DOID:0050158,DOID:2797,55,3563
DOID:0050159,DOID:2797,56,3563
DOID:0050160,DOID:7427,57,5907
DOID:0050161,DOID:1579,58,2991
DOID:0050166,DOID:2149,59,3257
DOID:0050167,DOID:14040,60,2694
DOID:0050168,DOID:14040,61,2694
DOID:0050169,DOID:8857,62,6450
DOID:0050174,DOID:2365,63,3347
DOID:0050175,DOID:934,64,6612
DOID:0050177,DOID:630,65,5474
DOID:0050179,DOID:934,66,6612
DOID:0050185,DOID:37,67,4055
DOID:0050194,DOID:934,68,6612
DOID:0050195,DOID:934,69,6612
DOID:0050196,DOID:934,70,6612
DOID:0050197,DOID:934,71,6612
DOID:0050198,DOID:934,72,6612
DOID:0050199,DOID:934,73,6612
DOID:0050200,DOID:11266,74,1755
DOID:0050201,DOID:11266,75,1755
DOID:0050202,DOID:934,76,6612
DOID:0050204,DOID:1884,77,3129
DOID:0050211,DOID:8469,78,6306
DOID:0050214,DOID:439,79,4424
DOID:0050218,DOID:1496,80,2950
DOID:0050222,DOID:11702,81,1899
DOID:0050242,DOID:2789,82,3561
DOID:0050246,DOID:2789,83,3561
DOID:0050250,DOID:883,84,6444
DOID:0050251,DOID:883,85,6444
DOID:0050253,DOID:883,86,6444
DOID:0050254,DOID:883,87,6444
DOID:0050256,DOID:883,88,6444
DOID:0050259,DOID:883,89,6444
DOID:0050260,DOID:883,90,6444
DOID:0050261,DOID:883,91,6444
DOID:0050266,DOID:4110,92,4266
DOID:0050268,DOID:11080,93,1667
DOID:0050278,DOID:0050135,94,39
DOID:0050279,DOID:0050135,95,39
DOID:0050288,DOID:2473,96,3387
DOID:0050289,DOID:2473,97,3387
DOID:0050290,DOID:2473,98,3387
DOID:0050291,DOID:1398,99,2675
DOID:0050292,DOID:0050136,100,40
DOID:0050304,DOID:9835,101,6801
DOID:0050308,DOID:11320,102,1772
DOID:0050328,DOID:1459,103,2887
DOID:0050331,DOID:0050736,104,381
DOID:0050332,DOID:2742,105,3530
DOID:0050335,DOID:5679,106,5173
DOID:0050336,DOID:2485,107,3395
DOID:0050338,DOID:104,108,1419
DOID:0050339,DOID:104,109,1419
DOID:0050340,DOID:104,110,1419
DOID:0050352,DOID:11976,111,1997
DOID:0050353,DOID:11976,112,1997
DOID:0050354,DOID:11976,113,1997
DOID:0050382,DOID:2123,114,3243
DOID:0050383,DOID:2123,115,3243
DOID:0050387,DOID:4455,116,4463
DOID:0050398,DOID:11102,117,1672
DOID:0050419,DOID:626,118,5456
DOID:0050424,DOID:0050736,119,381
DOID:0050425,DOID:331,120,3835
DOID:0050426,DOID:37,121,4055
DOID:0050427,DOID:0050737,122,382
DOID:0050428,DOID:3390,123,3893
DOID:0050429,DOID:37,124,4055
DOID:0050430,DOID:0050736,125,381
DOID:0050431,DOID:0060036,126,675
DOID:0050432,DOID:0060041,127,680
DOID:0050433,DOID:649,128,5539
DOID:0050434,DOID:2843,129,3583
DOID:0050436,DOID:0050737,130,382
