xref,dname,gid,did,g,d
C0043459,Zellweger Syndrome,3295,DOID:905,5646,6505
C0043459,Zellweger Syndrome,5189,DOID:905,10594,6505
C0043459,Zellweger Syndrome,5190,DOID:905,10033,6505
C0043459,Zellweger Syndrome,5192,DOID:905,16604,6505
C0043459,Zellweger Syndrome,5193,DOID:905,10467,6505
C0043459,Zellweger Syndrome,5194,DOID:905,14875,6505
C0043459,Zellweger Syndrome,5195,DOID:905,16518,6505
C0043459,Zellweger Syndrome,55670,DOID:905,11367,6505
C0043459,Zellweger Syndrome,5824,DOID:905,2376,6505
C0043459,Zellweger Syndrome,5825,DOID:905,17344,6505
C0043459,Zellweger Syndrome,5828,DOID:905,17969,6505
C0043459,Zellweger Syndrome,5830,DOID:905,11570,6505
C0043459,Zellweger Syndrome,8504,DOID:905,1621,6505
C0043459,Zellweger Syndrome,8799,DOID:905,16133,6505
C0043459,Zellweger Syndrome,9409,DOID:905,5211,6505
C0033860,Psoriasis,10318,DOID:8893,3120,6463
C0033860,Psoriasis,10498,DOID:8893,7487,6463
C0033860,Psoriasis,10758,DOID:8893,16798,6463
C0033860,Psoriasis,10866,DOID:8893,18610,6463
C0033860,Psoriasis,117289,DOID:8893,11072,6463
C0033860,Psoriasis,125893,DOID:8893,573,6463
C0033860,Psoriasis,1356,DOID:8893,13495,6463
C0033860,Psoriasis,1401,DOID:8893,3627,6463
C0033860,Psoriasis,1437,DOID:8893,13157,6463
C0033860,Psoriasis,149233,DOID:8893,9117,6463
C0033860,Psoriasis,163702,DOID:8893,8888,6463
C0033860,Psoriasis,23586,DOID:8893,4551,6463
C0033860,Psoriasis,2524,DOID:8893,10623,6463
C0033860,Psoriasis,2706,DOID:8893,10767,6463
C0033860,Psoriasis,29785,DOID:8893,17361,6463
C0033860,Psoriasis,3107,DOID:8893,15868,6463
C0033860,Psoriasis,338442,DOID:8893,4015,6463
C0033860,Psoriasis,348,DOID:8893,13902,6463
C0033860,Psoriasis,353143,DOID:8893,10896,6463
C0033860,Psoriasis,353144,DOID:8893,10893,6463
C0033860,Psoriasis,3553,DOID:8893,16861,6463
C0033860,Psoriasis,3565,DOID:8893,8531,6463
C0033860,Psoriasis,3569,DOID:8893,8535,6463
C0033860,Psoriasis,3593,DOID:8893,2798,6463
C0033860,Psoriasis,3596,DOID:8893,2803,6463
C0033860,Psoriasis,4288,DOID:8893,10031,6463
C0033860,Psoriasis,4792,DOID:8893,11344,6463
C0033860,Psoriasis,4843,DOID:8893,3214,6463
C0033860,Psoriasis,5111,DOID:8893,16590,6463
C0033860,Psoriasis,51561,DOID:8893,16465,6463
C0033860,Psoriasis,51752,DOID:8893,7011,6463
C0033860,Psoriasis,5271,DOID:8893,10277,6463
C0033860,Psoriasis,54620,DOID:8893,8917,6463
C0033860,Psoriasis,5468,DOID:8893,16162,6463
C0033860,Psoriasis,55770,DOID:8893,13581,6463
C0033860,Psoriasis,55905,DOID:8893,13928,6463
C0033860,Psoriasis,57178,DOID:8893,9479,6463
C0033860,Psoriasis,5966,DOID:8893,16246,6463
C0033860,Psoriasis,5972,DOID:8893,7726,6463
C0033860,Psoriasis,5980,DOID:8893,27,6463
C0033860,Psoriasis,6278,DOID:8893,2491,6463
C0033860,Psoriasis,64135,DOID:8893,14830,6463
C0033860,Psoriasis,64478,DOID:8893,18169,6463
C0033860,Psoriasis,6648,DOID:8893,6698,6463
C0033860,Psoriasis,6773,DOID:8893,712,6463
C0033860,Psoriasis,6774,DOID:8893,706,6463
C0033860,Psoriasis,7039,DOID:8893,15258,6463
C0033860,Psoriasis,7124,DOID:8893,17192,6463
C0033860,Psoriasis,7128,DOID:8893,3567,6463
C0033860,Psoriasis,7157,DOID:8893,11242,6463
C0033860,Psoriasis,7297,DOID:8893,3127,6463
C0033860,Psoriasis,7422,DOID:8893,3879,6463
C0033860,Psoriasis,79092,DOID:8893,11856,6463
C0033860,Psoriasis,81890,DOID:8893,2111,6463
C0033860,Psoriasis,831,DOID:8893,4030,6463
C0033860,Psoriasis,84648,DOID:8893,18284,6463
C0033860,Psoriasis,847,DOID:8893,11496,6463
C0033860,Psoriasis,85463,DOID:8893,10651,6463
C0033860,Psoriasis,864,DOID:8893,12131,6463
C0033860,Psoriasis,8651,DOID:8893,16448,6463
C0033860,Psoriasis,8875,DOID:8893,10860,6463
C0033860,Psoriasis,8876,DOID:8893,9121,6463
C0033860,Psoriasis,90134,DOID:8893,10844,6463
C0033860,Psoriasis,9232,DOID:8893,16336,6463
C0033860,Psoriasis,9692,DOID:8893,11636,6463
C0033860,Psoriasis,9825,DOID:8893,7622,6463
C0033860,Psoriasis,9844,DOID:8893,8292,6463
C0027726,Nephrotic Syndrome,1277,DOID:1184,16131,1964
C0027726,Nephrotic Syndrome,1282,DOID:1184,9624,1964
C0027726,Nephrotic Syndrome,1284,DOID:1184,9618,1964
C0027726,Nephrotic Syndrome,2,DOID:1184,1651,1964
C0027726,Nephrotic Syndrome,213,DOID:1184,2077,1964
C0027726,Nephrotic Syndrome,2152,DOID:1184,6141,1964
C0027726,Nephrotic Syndrome,2247,DOID:1184,6045,1964
C0027726,Nephrotic Syndrome,2262,DOID:1184,13969,1964
C0027726,Nephrotic Syndrome,2981,DOID:1184,5923,1964
C0027726,Nephrotic Syndrome,3123,DOID:1184,16439,1964
C0027726,Nephrotic Syndrome,3291,DOID:1184,11789,1964
C0027726,Nephrotic Syndrome,3558,DOID:1184,16870,1964
C0027726,Nephrotic Syndrome,462,DOID:1184,13497,1964
C0027726,Nephrotic Syndrome,4690,DOID:1184,8113,1964
C0027726,Nephrotic Syndrome,5054,DOID:1184,821,1964
C0027726,Nephrotic Syndrome,6648,DOID:1184,6698,1964
C0027726,Nephrotic Syndrome,7018,DOID:1184,15788,1964
C0027726,Nephrotic Syndrome,7040,DOID:1184,5887,1964
C0027726,Nephrotic Syndrome,7827,DOID:1184,6085,1964
C0027726,Nephrotic Syndrome,8440,DOID:1184,14484,1964
C0027726,Nephrotic Syndrome,914,DOID:1184,2170,1964
C0338480,Common Migraine,221692,DOID:12783,18212,2265
C0338480,Common Migraine,23063,DOID:12783,10647,2265
C0338480,Common Migraine,23245,DOID:12783,1354,2265
C0338480,Common Migraine,4035,DOID:12783,14180,2265
C0338480,Common Migraine,4209,DOID:12783,12566,2265
C0338480,Common Migraine,6863,DOID:12783,7554,2265
C0338480,Common Migraine,79054,DOID:12783,13175,2265
C0338480,Common Migraine,796,DOID:12783,1566,2265
C0338480,Common Migraine,79783,DOID:12783,16123,2265
C0338480,Common Migraine,9457,DOID:12783,4119,2265
C0338480,Common Migraine,9910,DOID:12783,12304,2265
C0026636,Mouth Diseases,10036,DOID:403,15761,4220
C0026636,Mouth Diseases,2189,DOID:403,1076,4220
C0026636,Mouth Diseases,2937,DOID:403,17322,4220
C0026636,Mouth Diseases,3301,DOID:403,17534,4220
C0026636,Mouth Diseases,51182,DOID:403,3077,4220
C0026636,Mouth Diseases,54541,DOID:403,4536,4220
C0026636,Mouth Diseases,56603,DOID:403,13938,4220
C0026636,Mouth Diseases,5743,DOID:403,7319,4220
C0026636,Mouth Diseases,6283,DOID:403,5378,4220
C0026636,Mouth Diseases,672,DOID:403,16679,4220
C0026636,Mouth Diseases,8208,DOID:403,4583,4220
C0026636,Mouth Diseases,9518,DOID:403,10524,4220
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,126328,DOID:0060536,3376,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,137682,DOID:0060536,14712,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,25915,DOID:0060536,5387,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,29078,DOID:0060536,11607,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,374291,DOID:0060536,10469,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4535,DOID:0060536,9912,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4536,DOID:0060536,5197,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4537,DOID:0060536,9948,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4538,DOID:0060536,12027,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4540,DOID:0060536,16266,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4541,DOID:0060536,16265,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4694,DOID:0060536,10414,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4709,DOID:0060536,17442,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4715,DOID:0060536,14824,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4719,DOID:0060536,8759,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4720,DOID:0060536,382,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4722,DOID:0060536,384,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4723,DOID:0060536,383,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4724,DOID:0060536,2349,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4726,DOID:0060536,380,1159
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4728,DOID:0060536,375,1159
