Disease ID,Disease Name,Gene ID,DOID,Gene,Disease,Gene_idx,Disease_idx
C0043459,Zellweger Syndrome,3295,DOID:905,5646,6505,0,0
C0043459,Zellweger Syndrome,5189,DOID:905,10594,6505,1,0
C0043459,Zellweger Syndrome,5190,DOID:905,10033,6505,2,0
C0043459,Zellweger Syndrome,5192,DOID:905,16604,6505,3,0
C0043459,Zellweger Syndrome,5193,DOID:905,10467,6505,4,0
C0043459,Zellweger Syndrome,5194,DOID:905,14875,6505,5,0
C0043459,Zellweger Syndrome,5195,DOID:905,16518,6505,6,0
C0043459,Zellweger Syndrome,55670,DOID:905,11367,6505,7,0
C0043459,Zellweger Syndrome,5824,DOID:905,2376,6505,8,0
C0043459,Zellweger Syndrome,5825,DOID:905,17344,6505,9,0
C0043459,Zellweger Syndrome,5828,DOID:905,17969,6505,10,0
C0043459,Zellweger Syndrome,5830,DOID:905,11570,6505,11,0
C0043459,Zellweger Syndrome,8504,DOID:905,1621,6505,12,0
C0043459,Zellweger Syndrome,8799,DOID:905,16133,6505,13,0
C0043459,Zellweger Syndrome,9409,DOID:905,5211,6505,14,0
C0033860,Psoriasis,10318,DOID:8893,3120,6463,15,1
C0033860,Psoriasis,10498,DOID:8893,7487,6463,16,1
C0033860,Psoriasis,10758,DOID:8893,16798,6463,17,1
C0033860,Psoriasis,10866,DOID:8893,18610,6463,18,1
C0033860,Psoriasis,117289,DOID:8893,11072,6463,19,1
C0033860,Psoriasis,125893,DOID:8893,573,6463,20,1
C0033860,Psoriasis,1356,DOID:8893,13495,6463,21,1
C0033860,Psoriasis,1401,DOID:8893,3627,6463,22,1
C0033860,Psoriasis,1437,DOID:8893,13157,6463,23,1
C0033860,Psoriasis,149233,DOID:8893,9117,6463,24,1
C0033860,Psoriasis,163702,DOID:8893,8888,6463,25,1
C0033860,Psoriasis,23586,DOID:8893,4551,6463,26,1
C0033860,Psoriasis,2524,DOID:8893,10623,6463,27,1
C0033860,Psoriasis,2706,DOID:8893,10767,6463,28,1
C0033860,Psoriasis,29785,DOID:8893,17361,6463,29,1
C0033860,Psoriasis,3107,DOID:8893,15868,6463,30,1
C0033860,Psoriasis,338442,DOID:8893,4015,6463,31,1
